Bulan,Pendapatan
2022-01,1.48E+11
2022-02,1.65E+11
2022-03,1.62E+11
2022-04,1.49E+11
2022-05,1.62E+11
2022-06,1.42E+11
2022-07,1.39E+11
2022-08,1.37E+11
2022-09,1.37E+11
2022-10,1.45E+11
2022-11,1.52E+11
2022-12,1.50E+11
2023-01,1.62E+11
2023-02,1.78E+11
2023-03,1.69E+11
2023-04,1.59E+11
2023-05,1.51E+11
2023-06,1.33E+11
2023-07,1.42E+11
2023-08,1.32E+11
2023-09,1.39E+11
2023-10,1.40E+11
2023-11,1.33E+11
2023-12,1.42E+11
2024-01,1.64E+11
2024-02,1.58E+11
2024-03,1.59E+11
2024-04,1.49E+11
2024-05,1.63E+11
2024-06,1.52E+11
2024-07,1.39E+11
2024-08,1.37E+11
2024-09,1.34E+11
2024-10,1.43E+11
2024-11,1.44E+11
