Provinsi,kode_prov,Tahun,Bulan,nama_bulan,urutan,Jenis_Pendapatan,Anggaran,Realisasi,Persentase,Tanggal,Persentase_YTD
Bali,22,2023,1,Januari,19,Belanja Modal,4664237198756.0,4770798504.0,0.1,2023-01-01,0.1
Bali,22,2023,2,Februari,19,Belanja Modal,4664237198756.0,101442699939.0,2.28,2023-02-01,2.28
Bali,22,2023,3,Maret,19,Belanja Modal,4664237198756.0,147910972103.0,5.45,2023-03-01,5.45
Bali,22,2023,4,April,19,Belanja Modal,4664237198756.0,101092590082.0,7.62,2023-04-01,7.62
Bali,22,2023,5,Mei,19,Belanja Modal,4664237198756.0,0.0,7.62,2023-05-01,7.62
Bali,22,2023,6,Juni,19,Belanja Modal,4664237198756.0,156829968752.0,10.98,2023-06-01,10.98
Bali,22,2023,7,Juli,19,Belanja Modal,4664237198756.0,222165363372.45996,15.74,2023-07-01,15.74
Bali,22,2023,8,Agustus,19,Belanja Modal,4664237198756.0,307683635013.3401,22.34,2023-08-01,22.34
Bali,22,2023,9,September,19,Belanja Modal,4664237198756.0,247790276869.5,27.65,2023-09-01,27.65
Bali,22,2023,10,Oktober,19,Belanja Modal,4664237198756.0,385517298636.5,35.92,2023-10-01,35.92
Bali,22,2023,11,November,19,Belanja Modal,4664237198756.0,398981459770.59985,44.47,2023-11-01,44.47
Bali,22,2023,12,Desember,19,Belanja Modal,4664237198756.0,1470402418936.0,76.0,2023-12-01,76.0
Bali,22,2024,1,Januari,19,Belanja Modal,5636978933865.0,4011938484.0,0.07,2024-01-01,0.07
Bali,22,2024,2,Februari,19,Belanja Modal,5636978933865.0,56847654123.03,1.08,2024-02-01,1.08
Bali,22,2024,3,Maret,19,Belanja Modal,5636978933865.0,109780882711.57999,3.03,2024-03-01,3.03
Bali,22,2024,4,April,19,Belanja Modal,5636978933865.0,111746854458.87,5.01,2024-04-01,5.01
Bali,22,2024,5,Mei,19,Belanja Modal,5636978933865.0,210919059230.01,8.75,2024-05-01,8.75
Bali,22,2024,6,Juni,19,Belanja Modal,5636978933865.0,203619109563.02002,12.36,2024-06-01,12.36
Bali,22,2024,7,Juli,19,Belanja Modal,5636978933865.0,269466747138.51,17.14,2024-07-01,17.14
Bali,22,2024,8,Agustus,19,Belanja Modal,5636978933865.0,410299520358.98,24.42,2024-08-01,24.42
Bali,22,2024,9,September,19,Belanja Modal,5636978933865.0,292540604891.8999,29.61,2024-09-01,29.61
Bali,22,2024,10,Oktober,19,Belanja Modal,5636978933865.0,462914902089.1001,37.82,2024-10-01,37.82
Bali,22,2024,11,November,19,Belanja Modal,5636978933865.0,468202970366.7998,46.13,2024-11-01,46.13
Bali,22,2024,12,Desember,19,Belanja Modal,5636978933865.0,1838513801528.7002,78.75,2024-12-01,78.75
