Jenis Pendapatan.,
,Realisasi Pendapatan Pemerintah Provinsi DKI Jakarta Menurut Jenis Pendapatan (ribu rupiah)
,2022
1. Pendapatan Asli Daerah (PAD),45611.71
1.1 Pajak Daerah,40275.08
1.2 Retribusi Daerah,376.98
1.3 Hasil Perusahaan Milik Daerah dan Pengelolaan Kekayaan Daerah yang Dipisahkan,402.42
1.4 Lain-lain PAD yang Sah,4557.23
2. Dana Perimbangan,18831.94
2.1 Bagi Hasil Pajak,16010.82
2.2 Bagi Hasil Bukan Pajak/Sumber Daya Alam,51.27
2.3 Dana Alokasi Umum,0
2.4 Dana Alokasi Khusus,2769.85
3. Lain-lain Pendapatan yang Sah,2816.34
3.1 Pendapatan Hibah,2816.34
3.2 Dana Darurat,-
3.3 Dana Bagi Hasil Pajak dari Provinsi dan Pemerintah Daerah Lainnya,-
3.4 Dana Penyesuaian dan Otonomi Daerah,-
3.5 Bantuan Keuangan dari Provinsi atau Pemerintah Daerah Lainnya,-
3.6 Lainnya,-
Jumlah,67259.99
