"Realisasi Pendapatan Pemerintah Provinsi Menurut Jenis Pendapatan (ribu rupiah) di Provinsi Jawa Barat, 2021",,
,,
Jenis Pendapatan/Kind of Revenues, 2021 ,
,,
1. Pendapatan Asli Daerah (PAD)/Regional Revenue," 25,066,632,129 ",
1.1 Pajak Daerah/Regional Tax," 23,458,576,336 ",
1.2 Retribusi Daerah/Regional Retribution," 48,719,411 ",
1.3 Hasil Perusahaan Milik Daerah dan Pengelolaan Kekayaan Daerah yang Dipisahkan/Regional-Owned Company Revenue and Separated Management of Regional Wealth," 408,899,021 ",
1.4 Lain-lain PAD yang Sah/Other Regional Revenue," 1,150,437,361 ",
2. Dana Perimbangan/Balance Funds," 16,293,819,865 ",
2.1 Bagi Hasil Pajak/ Bagi Hasil Bukan Pajak/Sumber Daya Alam/Tax Sharing Revenue/ Non-Tax Sharing Revenue/Natural Resources," 1,861,356,621 ",
2.2 Dana Alokasi Umum/General Allocation Fund," 3,107,449,500 ",
2.3 Dana Alokasi Khusus/Special Allocation Fund," 11,325,013,744 ",
3. Lain-lain Pendapatan yang Sah/Other Revenue," 111,544,762 ",
3.1 Pendapatan Hibah/Grant, - ,
3.2 Dana Darurat/Emergency Fund, - ,
3.3 Dana Bagi Hasil Pajak dari Provinsi dan Pemerintah Daerah Lainnya/Tax Sharing Revenue from Provincial and Other Regional Governments, - ,
3.4 Dana Penyesuaian dan Otonomi Daerah/Regional Adjustment and Autonomy Fund, - ,
3.5 Bantuan Keuangan dari Provinsi atau Pemerintah Daerah Lainnya/Financial Assistance from Provincial or Other Regional Governments, - ,
2 Pembiayaan Daerah/Local Government Financing," 3,243,068,906 ",
Jumlah/Total," 44,715,065,662 ",
,,
Sumber Data : Survei Statistik Keuangan Daerah/Regional Financial Statistics Survey,,
