"KEUANGAN DAERAH - Realisasi Pendapatan Pemerintah Provinsi Menurut Jenis Pendapatan di Provinsi Jawa Timur (Rupiah), 2021-2022",,,
Jenis Pendapatan/                       Kind of Revenues,20211,20222,
1. Pendapatan Asli Daerah (PAD)/Regional Revenue,"18 935 885 925 145,61","21 256 547 752 601,54",
1.1 Pajak Daerah/Regional Tax,"15,400,864,401,471.00","17,573,322,019,811.00",
1.2 Retribusi Daerah/Regional Retribution,"110,950,961,634.00","119,973,645,231.69",
1.3 Hasil Perusahaan Milik Daerah dan Pengelolaan Kekayaan Daerah yang Dipisahkan/Regional- Owned Company Revenue and Separated Management of Regional Wealth,"408,640,386,025.80","441,934,318,842.28",
1.4 Lain-lain PAD yang Sah/Other Regional Revenue,"3 015 430 176 014,81","3 121 317 768 716,57",
2. Dana Perimbangan/Balance Funds,"15,186,749,240,653.00","10,563,739,586,218.00",
2.1 Bagi Hasil Pajak/Tax Sharing Revenue,"1,486,777,008,689.00","1,297,463,168,811.00",
2.2 Bagi Hasil Bukan Pajak/Sumber Daya Alam/Non-Tax Sharing Revenue/Natural Resources,"1,154,184,681,380.00","992,115,870,400.00",
2.3 Dana Alokasi Umum/General Allocation Fund,"3,650,366,754,000.00","3,596,920,054,085.00",
2.4 Dana Alokasi Khusus/Special Allocation Fund,"8,228,979,718,482.00","3,993,371,787,432.00",
2.5 Bagi Hasil Cukai Tembakau,"614,003,518,102.00","616,609,403,490.00",
2.6 Pendapatan Belanja Sumber DAK,-,-,
2.7 Dana Penyesuaian dan Otonomi Daerah/Regional Adjustment and Autonomy Fund,"52,437,560,000.00","67,259,302,000.00",
3. Lain-lain Pendapatan yang Sah/Other Revenue,"158,073,954,525.10","84,312,167,954.32",
3.1 Pendapatan Hibah/Grant,"148,231,490,924.92","68,141,801,994.39",
3.2 Dana Darurat/Emergency Fund,-,-,
3.3 Dana Bagi Hasil Pajak dari Provinsi dan Pemerintah Daerah Lainnya/Tax Sharing Revenue from Provincial and Other Regional Governments,-,-,
3.4 Bantuan Keuangan dari Provinsi atau Pemerintah Daerah Lainnya/Financial Assistance from Provincial or Other Regional Governments,"7,500,000,000.00",-,
3.5 Lainnya/Others,"2,342,463,600.18","16,170,365,959.93",
Jumlah/Total,"34 280 709 120 323,71","31 904 599 506 773,86",
Sumber/Source:  Badan Pengelola Keuangan dan Aset Daerah Kabupaten/Kota di Provinsi Jawa Timur/ Financial and Asset Management Agency of Regency/Municipality of Jawa Timur Province,,,
