tahun,bulan,provinsi,pendapatan_daerah,PAD,TKDD,belanja_daerah,belanja_modal
2021,1,Aceh,13948388273436.0,2505887909031.1,11431169265498.0,13683582127432.0,2199333370928.9
2021,1,Bali,5923153297394.8,3117070012473.8,2801186284925.0,6270667217646.3,839010470016.8
2021,1,Bangka Belitung,2708948673049.0,895763128992.0,1750322876331.0,2465813370118.0,428654245651.0
2021,1,Banten,11623305653595.0,7010370228686.8,4607412424908.0,11660630540289.0,1297233609175.6
2021,1,Bengkulu,3051751862803.0,984420164400.0,2066215698403.0,2880225046730.0,324342084410.0
2021,1,DI Yogyakarta,5703100309342.2,1900923074881.5,3794050615221.0,5530173461667.2,654839728747.39
2021,1,DKI Jakarta,65567009199000.0,41606307405630.0,22673794344052.0,61619040160565.0,6865827016519.0
2021,1,Gorontalo,1972986602791.5,510804052686.52,1458904411530.0,1866246072482.9,176342548971.48
2021,1,Jambi,4725724403283.0,1843431186553.0,2879979691030.0,4388299688277.0,449690683606.0
2021,1,Jawa Barat,36991873224931.0,20333679966126.0,16577293915554.0,37470910437064.0,2045428563538.0
2021,1,Jawa Tengah,26633000085963.0,14695474898162.0,11871796336054.0,25843800193834.0,1447620411245.0
2021,1,Jawa Timur,34280709120324.0,18935885925146.0,15186749240653.0,33852938529602.0,1969920805388.0
2021,1,Kalimantan Barat,6431288413199.0,2507322119836.0,3878077918657.0,6303146996600.0,927107860128.0
2021,1,Kalimantan Selatan,6623086492762.3,3564914942945.3,2972176267366.0,6434676072254.6,956156711886.92
2021,1,Kalimantan Tengah,5199634633666.7,1851575071028.7,3309173775771.0,4584753691272.4,872467667935.12
2021,1,Kalimantan Timur,10220142967274.0,6111918272284.4,4094319639990.0,10723529422431.0,1514465189714.9
2021,1,Kalimantan Utara,2609501844014.0,677803723305.0,1890949863341.0,2372645890286.0,390900388868.0
2021,1,Kepulauan Riau,3809875862443.0,1375770280701.0,2406531963533.0,3703816067350.0,338332248969.0
2021,1,Lampung,7469469346029.0,3249669847265.0,4201782231009.0,7097651401591.1,849692114832.21
2021,1,Maluku,3045825245458.0,545752866622.0,2498865066285.0,3008048650665.0,591452177031.0
2021,1,Maluku Utara,2876947984752.0,552347164463.0,2324406934903.0,2992461495869.0,821980932716.0
2021,1,NTB,5326932790704.0,1888456286096.0,3414313104250.0,5545143797895.0,771280939990.0
2021,1,NTT,5312446872608.5,1238032648888.5,4000655446445.0,5508767906132.7,903257622800.0
2021,1,Papua,13885923486851.0,2139689476134.0,11735255394924.0,14859606462836.0,1116373579616.0
2021,1,Papua Barat,7327020310449.0,483953895413.0,6841402535036.0,8040529963116.0,2435058124558.0
2021,1,Riau,9383001507905.0,4050468561143.0,5324745236758.0,8931704166450.0,1018455078253.0
2021,1,Sulawesi Barat,2024671075786.4,407996514740.59,1609482634440.0,1986339100172.2,402867597767.42
2021,1,Sulawesi Selatan,10009403475558.0,4469113381188.0,5423910799398.0,10167278357983.0,1459719789009.0
2021,1,Sulawesi Tengah,4695680785591.0,1494246273498.0,3149096842573.0,4339507807931.0,500901619442.0
2021,1,Sulawesi Tenggara,4529251153805.0,1373793724629.0,3119960554389.0,4495870207049.0,1246770023310.0
2021,1,Sulawesi Utara,3958016296497.0,1310528740581.0,2626382357008.0,4352913924432.0,1031253909110.0
2021,1,Sumatera Barat,6706053462904.0,2551899163309.0,4072492324339.0,6468906658345.0,666352120893.0
2021,1,Sumatera Selatan,9611291244667.0,3865463033085.0,5712683072712.0,10060730260978.0,1836834114021.0
2021,1,Sumatera Utara,14034036626479.0,6402714086506.6,7518180471987.0,13225393166670.0,1141203699701.9
2021,2,Aceh,13948388273436.0,2505887909031.1,11431169265498.0,13683582127432.0,2199333370928.9
2021,2,Bali,5923153297394.8,3117070012473.8,2801186284925.0,6270667217646.3,839010470016.8
2021,2,Bangka Belitung,2708948673049.0,895763128992.0,1750322876331.0,2465813370118.0,428654245651.0
2021,2,Banten,11623305653595.0,7010370228686.8,4607412424908.0,11660630540289.0,1297233609175.6
2021,2,Bengkulu,3051751862803.0,984420164400.0,2066215698403.0,2880225046730.0,324342084410.0
2021,2,DI Yogyakarta,5703100309342.2,1900923074881.5,3794050615221.0,5530173461667.2,654839728747.39
2021,2,DKI Jakarta,65567009199000.0,41606307405630.0,22673794344052.0,61619040160565.0,6865827016519.0
2021,2,Gorontalo,1972986602791.5,510804052686.52,1458904411530.0,1866246072482.9,176342548971.48
2021,2,Jambi,4725724403283.0,1843431186553.0,2879979691030.0,4388299688277.0,449690683606.0
2021,2,Jawa Barat,36991873224931.0,20333679966126.0,16577293915554.0,37470910437064.0,2045428563538.0
2021,2,Jawa Tengah,26633000085963.0,14695474898162.0,11871796336054.0,25843800193834.0,1447620411245.0
2021,2,Jawa Timur,34280709120324.0,18935885925146.0,15186749240653.0,33852938529602.0,1969920805388.0
2021,2,Kalimantan Barat,6431288413199.0,2507322119836.0,3878077918657.0,6303146996600.0,927107860128.0
2021,2,Kalimantan Selatan,6623086492762.3,3564914942945.3,2972176267366.0,6434676072254.6,956156711886.92
2021,2,Kalimantan Tengah,5199634633666.7,1851575071028.7,3309173775771.0,4584753691272.4,872467667935.12
2021,2,Kalimantan Timur,10220142967274.0,6111918272284.4,4094319639990.0,10723529422431.0,1514465189714.9
2021,2,Kalimantan Utara,2609501844014.0,677803723305.0,1890949863341.0,2372645890286.0,390900388868.0
2021,2,Kepulauan Riau,3809875862443.0,1375770280701.0,2406531963533.0,3703816067350.0,338332248969.0
2021,2,Lampung,7469469346029.0,3249669847265.0,4201782231009.0,7097651401591.1,849692114832.21
2021,2,Maluku,3045825245458.0,545752866622.0,2498865066285.0,3008048650665.0,591452177031.0
2021,2,Maluku Utara,2876947984752.0,552347164463.0,2324406934903.0,2992461495869.0,821980932716.0
2021,2,NTB,5326932790704.0,1888456286096.0,3414313104250.0,5545143797895.0,771280939990.0
2021,2,NTT,5312446872608.5,1238032648888.5,4000655446445.0,5508767906132.7,903257622800.0
2021,2,Papua,13885923486851.0,2139689476134.0,11735255394924.0,14859606462836.0,1116373579616.0
2021,2,Papua Barat,7327020310449.0,483953895413.0,6841402535036.0,8040529963116.0,2435058124558.0
2021,2,Riau,9383001507905.0,4050468561143.0,5324745236758.0,8931704166450.0,1018455078253.0
2021,2,Sulawesi Barat,2024671075786.4,407996514740.59,1609482634440.0,1986339100172.2,402867597767.42
2021,2,Sulawesi Selatan,10009403475558.0,4469113381188.0,5423910799398.0,10167278357983.0,1459719789009.0
2021,2,Sulawesi Tengah,4695680785591.0,1494246273498.0,3149096842573.0,4339507807931.0,500901619442.0
2021,2,Sulawesi Tenggara,4529251153805.0,1373793724629.0,3119960554389.0,4495870207049.0,1246770023310.0
2021,2,Sulawesi Utara,3958016296497.0,1310528740581.0,2626382357008.0,4352913924432.0,1031253909110.0
2021,2,Sumatera Barat,6706053462904.0,2551899163309.0,4072492324339.0,6468906658345.0,666352120893.0
2021,2,Sumatera Selatan,9611291244667.0,3865463033085.0,5712683072712.0,10060730260978.0,1836834114021.0
2021,2,Sumatera Utara,14034036626479.0,6402714086506.6,7518180471987.0,13225393166670.0,1141203699701.9
2021,3,Aceh,13948388273436.0,2505887909031.1,11431169265498.0,13683582127432.0,2199333370928.9
2021,3,Bali,5923153297394.8,3117070012473.8,2801186284925.0,6270667217646.3,839010470016.8
2021,3,Bangka Belitung,2708948673049.0,895763128992.0,1750322876331.0,2465813370118.0,428654245651.0
2021,3,Banten,11623305653595.0,7010370228686.8,4607412424908.0,11660630540289.0,1297233609175.6
2021,3,Bengkulu,3051751862803.0,984420164400.0,2066215698403.0,2880225046730.0,324342084410.0
2021,3,DI Yogyakarta,5703100309342.2,1900923074881.5,3794050615221.0,5530173461667.2,654839728747.39
2021,3,DKI Jakarta,65567009199000.0,41606307405630.0,22673794344052.0,61619040160565.0,6865827016519.0
2021,3,Gorontalo,1972986602791.5,510804052686.52,1458904411530.0,1866246072482.9,176342548971.48
2021,3,Jambi,4725724403283.0,1843431186553.0,2879979691030.0,4388299688277.0,449690683606.0
2021,3,Jawa Barat,36991873224931.0,20333679966126.0,16577293915554.0,37470910437064.0,2045428563538.0
2021,3,Jawa Tengah,26633000085963.0,14695474898162.0,11871796336054.0,25843800193834.0,1447620411245.0
2021,3,Jawa Timur,34280709120324.0,18935885925146.0,15186749240653.0,33852938529602.0,1969920805388.0
2021,3,Kalimantan Barat,6431288413199.0,2507322119836.0,3878077918657.0,6303146996600.0,927107860128.0
2021,3,Kalimantan Selatan,6623086492762.3,3564914942945.3,2972176267366.0,6434676072254.6,956156711886.92
2021,3,Kalimantan Tengah,5199634633666.7,1851575071028.7,3309173775771.0,4584753691272.4,872467667935.12
2021,3,Kalimantan Timur,10220142967274.0,6111918272284.4,4094319639990.0,10723529422431.0,1514465189714.9
2021,3,Kalimantan Utara,2609501844014.0,677803723305.0,1890949863341.0,2372645890286.0,390900388868.0
2021,3,Kepulauan Riau,3809875862443.0,1375770280701.0,2406531963533.0,3703816067350.0,338332248969.0
2021,3,Lampung,7469469346029.0,3249669847265.0,4201782231009.0,7097651401591.1,849692114832.21
2021,3,Maluku,3045825245458.0,545752866622.0,2498865066285.0,3008048650665.0,591452177031.0
2021,3,Maluku Utara,2876947984752.0,552347164463.0,2324406934903.0,2992461495869.0,821980932716.0
2021,3,NTB,5326932790704.0,1888456286096.0,3414313104250.0,5545143797895.0,771280939990.0
2021,3,NTT,5312446872608.5,1238032648888.5,4000655446445.0,5508767906132.7,903257622800.0
2021,3,Papua,13885923486851.0,2139689476134.0,11735255394924.0,14859606462836.0,1116373579616.0
2021,3,Papua Barat,7327020310449.0,483953895413.0,6841402535036.0,8040529963116.0,2435058124558.0
2021,3,Riau,9383001507905.0,4050468561143.0,5324745236758.0,8931704166450.0,1018455078253.0
2021,3,Sulawesi Barat,2024671075786.4,407996514740.59,1609482634440.0,1986339100172.2,402867597767.42
2021,3,Sulawesi Selatan,10009403475558.0,4469113381188.0,5423910799398.0,10167278357983.0,1459719789009.0
2021,3,Sulawesi Tengah,4695680785591.0,1494246273498.0,3149096842573.0,4339507807931.0,500901619442.0
2021,3,Sulawesi Tenggara,4529251153805.0,1373793724629.0,3119960554389.0,4495870207049.0,1246770023310.0
2021,3,Sulawesi Utara,3958016296497.0,1310528740581.0,2626382357008.0,4352913924432.0,1031253909110.0
2021,3,Sumatera Barat,6706053462904.0,2551899163309.0,4072492324339.0,6468906658345.0,666352120893.0
2021,3,Sumatera Selatan,9611291244667.0,3865463033085.0,5712683072712.0,10060730260978.0,1836834114021.0
2021,3,Sumatera Utara,14034036626479.0,6402714086506.6,7518180471987.0,13225393166670.0,1141203699701.9
2021,4,Aceh,13948388273436.0,2505887909031.1,11431169265498.0,13683582127432.0,2199333370928.9
2021,4,Bali,5923153297394.8,3117070012473.8,2801186284925.0,6270667217646.3,839010470016.8
2021,4,Bangka Belitung,2708948673049.0,895763128992.0,1750322876331.0,2465813370118.0,428654245651.0
2021,4,Banten,11623305653595.0,7010370228686.8,4607412424908.0,11660630540289.0,1297233609175.6
2021,4,Bengkulu,3051751862803.0,984420164400.0,2066215698403.0,2880225046730.0,324342084410.0
2021,4,DI Yogyakarta,5703100309342.2,1900923074881.5,3794050615221.0,5530173461667.2,654839728747.39
2021,4,DKI Jakarta,65567009199000.0,41606307405630.0,22673794344052.0,61619040160565.0,6865827016519.0
2021,4,Gorontalo,1972986602791.5,510804052686.52,1458904411530.0,1866246072482.9,176342548971.48
2021,4,Jambi,4725724403283.0,1843431186553.0,2879979691030.0,4388299688277.0,449690683606.0
2021,4,Jawa Barat,36991873224931.0,20333679966126.0,16577293915554.0,37470910437064.0,2045428563538.0
2021,4,Jawa Tengah,26633000085963.0,14695474898162.0,11871796336054.0,25843800193834.0,1447620411245.0
2021,4,Jawa Timur,34280709120324.0,18935885925146.0,15186749240653.0,33852938529602.0,1969920805388.0
2021,4,Kalimantan Barat,6431288413199.0,2507322119836.0,3878077918657.0,6303146996600.0,927107860128.0
2021,4,Kalimantan Selatan,6623086492762.3,3564914942945.3,2972176267366.0,6434676072254.6,956156711886.92
2021,4,Kalimantan Tengah,5199634633666.7,1851575071028.7,3309173775771.0,4584753691272.4,872467667935.12
2021,4,Kalimantan Timur,10220142967274.0,6111918272284.4,4094319639990.0,10723529422431.0,1514465189714.9
2021,4,Kalimantan Utara,2609501844014.0,677803723305.0,1890949863341.0,2372645890286.0,390900388868.0
2021,4,Kepulauan Riau,3809875862443.0,1375770280701.0,2406531963533.0,3703816067350.0,338332248969.0
2021,4,Lampung,7469469346029.0,3249669847265.0,4201782231009.0,7097651401591.1,849692114832.21
2021,4,Maluku,3045825245458.0,545752866622.0,2498865066285.0,3008048650665.0,591452177031.0
2021,4,Maluku Utara,2876947984752.0,552347164463.0,2324406934903.0,2992461495869.0,821980932716.0
2021,4,NTB,5326932790704.0,1888456286096.0,3414313104250.0,5545143797895.0,771280939990.0
2021,4,NTT,5312446872608.5,1238032648888.5,4000655446445.0,5508767906132.7,903257622800.0
2021,4,Papua,13885923486851.0,2139689476134.0,11735255394924.0,14859606462836.0,1116373579616.0
2021,4,Papua Barat,7327020310449.0,483953895413.0,6841402535036.0,8040529963116.0,2435058124558.0
2021,4,Riau,9383001507905.0,4050468561143.0,5324745236758.0,8931704166450.0,1018455078253.0
2021,4,Sulawesi Barat,2024671075786.4,407996514740.59,1609482634440.0,1986339100172.2,402867597767.42
2021,4,Sulawesi Selatan,10009403475558.0,4469113381188.0,5423910799398.0,10167278357983.0,1459719789009.0
2021,4,Sulawesi Tengah,4695680785591.0,1494246273498.0,3149096842573.0,4339507807931.0,500901619442.0
2021,4,Sulawesi Tenggara,4529251153805.0,1373793724629.0,3119960554389.0,4495870207049.0,1246770023310.0
2021,4,Sulawesi Utara,3958016296497.0,1310528740581.0,2626382357008.0,4352913924432.0,1031253909110.0
2021,4,Sumatera Barat,6706053462904.0,2551899163309.0,4072492324339.0,6468906658345.0,666352120893.0
2021,4,Sumatera Selatan,9611291244667.0,3865463033085.0,5712683072712.0,10060730260978.0,1836834114021.0
2021,4,Sumatera Utara,14034036626479.0,6402714086506.6,7518180471987.0,13225393166670.0,1141203699701.9
2021,5,Aceh,13948388273436.0,2505887909031.1,11431169265498.0,13683582127432.0,2199333370928.9
2021,5,Bali,5923153297394.8,3117070012473.8,2801186284925.0,6270667217646.3,839010470016.8
2021,5,Bangka Belitung,2708948673049.0,895763128992.0,1750322876331.0,2465813370118.0,428654245651.0
2021,5,Banten,11623305653595.0,7010370228686.8,4607412424908.0,11660630540289.0,1297233609175.6
2021,5,Bengkulu,3051751862803.0,984420164400.0,2066215698403.0,2880225046730.0,324342084410.0
2021,5,DI Yogyakarta,5703100309342.2,1900923074881.5,3794050615221.0,5530173461667.2,654839728747.39
2021,5,DKI Jakarta,65567009199000.0,41606307405630.0,22673794344052.0,61619040160565.0,6865827016519.0
